"name","address","zip_code","type","administrator","phonenumber","source","entity_type"
"CARDINAL HEALTH 5 LLC  ","16868  Cresta Dr",NULL,"ELECTRONIC MANUFACTU","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"CARDINAL HEALTH 5 LLC  ","5550  University Ave",NULL,"ELECTRONIC MANUFACTU","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"CARDINAL HEALTH 5 LLC  ","3750  Torrey View Ct",NULL,"ELECTRONIC MANUFACTU","C/O ADVANTAX",NULL,"Audrey Merged",NULL
"CARDINAL HEALTH INTEGRATED ONCOLOGY NETWORK DBA IMPERIAL VALLEY RADIATION","959  Lane Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","ONCOLOGY",NULL,"Audrey Merged",NULL
"CARE 1ST HEALTH PLAN PROMISE HEALTH PLAN ","3131  Camino Del Rio N",NULL,"MISC BROKER","ATTN OLGA ISKANDAR",NULL,"Audrey Merged",NULL
"CARING HEARTS MEDICAL FOUNDATION&HEALTH SERVICES INC ","2401  Reo Dr",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O IYABO DARAMOLA",NULL,"Audrey Merged",NULL
"CARLSBAD BY THE SEA","2855 Carlsbad Blvd.","92008.0","RCFE-CONTINUING CARE RETIREMENT COMMUNITY","DIGERNESS, PAULA","(760) 492-3359","Audrey Merged",NULL
"CARLSBAD FAMILY HOUSING PARTNERSHIP LP DBA RANCHO CARILLO APTS","6053  Paseo Acampo",NULL,"LOW INCOME HOUSING","C/O TATIANA ZUZA",NULL,"Audrey Merged",NULL
"CARLTON VILLAS HOUSING PARTNERS L P ","9322  Carlton Oaks Dr",NULL,"APARTMENTS","C/O LOGAN PROP MGMT",NULL,"Audrey Merged",NULL
"CARLTON VILLAS HOUSING PARTNERS LP ","9325  Carlton Oaks Dr",NULL,"LOW INCOME HOUSING","C/O PROPERTY MANAGEMENT",NULL,"Audrey Merged",NULL
"CARMEL VALLEY HOUSING ASSOCIATES LP ","13843  Carmel Valley Rd",NULL,"LOW INCOME HOUSING","C/O DELPHINE SHERMAN CFO",NULL,"Audrey Merged",NULL
"CARMEL VALLEY WOMENS HEALTH INC ","530  Lomas Santa Fe Dr",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN KAREN E LEE",NULL,"Audrey Merged",NULL
"CARROLL'S COMMUNITY CARE","523 Emerald Avenue","92020.0","ADULT RESIDENTIAL","ROGELIO HERNANDEZ","(619) 442-8893","Audrey Merged",NULL
"CASA DE LAS CAMPANAS","18655 West Bernardo Drive","92127.0","RCFE-CONTINUING CARE RETIREMENT COMMUNITY","HARRIS, BROOKE","(858) 451-9152","Audrey Merged",NULL
"CASCADE ENERGY INC  ","5230  Carroll Canyon Rd",NULL,"ARCHITECT&ENGINEER","C/O TAX DEPARTMENT",NULL,"Audrey Merged",NULL
"CATHEDRAL PLAZA HOUSING PARTNERS LP ","1551  3Rd Ave",NULL,"APARTMENTS","PMB 250",NULL,"Audrey Merged",NULL
"CAVELARIS COMMUNITY CARE","9975 San Juan St","91977.0","ADULT RESIDENTIAL","MERZIOTIS, MARGAUX","(619) 370-6733","Audrey Merged",NULL
"CAVELARIS COMMUNITY CARE CENTER","9975 San Juan Street","91977.0","ADULT RESIDENTIAL","ARLENE DOULOPOULOS","(619) 466-6759","Audrey Merged",NULL
"CEDAR NETTLETON HOUSING ASSOCIATES LP ","160  Nettleton Rd",NULL,"APARTMENTS","C/O COMMUNITY HOUSINGWORKS",NULL,"Audrey Merged",NULL
"CEDAR NETTLETON HOUSING ASSOCIATES LP ","245  Cedar Rd",NULL,"APARTMENTS","C/O COMMUNITY HOUSINGWORKS",NULL,"Audrey Merged",NULL
"CENTER FOR COMMUNITY SOLUTIONS (TRUST DEED)","4508 Mission Bay Dr",NULL,"NONCITYTD","Real Estate",NULL,"Audrey Merged",NULL
"CENTER FOR COMMUNITY SOLUTIONS CORPORATION ","935  Martin Dr",NULL,"MISCELLANEOUS ASSOC","ATTN DEEDRE ROBLES",NULL,"Audrey Merged",NULL
"CENTER FOR COMMUNITY SOLUTIONS CORPORATION ","1002 E 3Rd Ave",NULL,"MISCELLANEOUS ASSOC","ATTN DEEDRE ROBLES",NULL,"Audrey Merged",NULL
"CENTER FOR COMMUNITY SOLUTIONS CORPORATION ","210 S Juniper St",NULL,"MISCELLANEOUS ASSOC","ATTN DEEDRE ROBLES",NULL,"Audrey Merged",NULL
"CENTER FOR COMMUNITY SOLUTIONS CORPORATION ","1016  Greenfield Dr",NULL,"MISCELLANEOUS ASSOC","ATTN DEEDRE ROBLES",NULL,"Audrey Merged",NULL
"CENTER FOR COMMUNITY SOLUTIONS CORPORATION ","460 N Magnolia Ave",NULL,"MISC PROFESSIONAL","ATTN DEEDRE ROBLES",NULL,"Audrey Merged",NULL
"CENTER FOR COMMUNITY SOLUTIONS CORPORATION ","4508  Mission Bay Dr",NULL,"MISCELLANEOUS ASSOC","ATTN DEEDRE ROBLES",NULL,"Audrey Merged",NULL
"CENTER FOR NEUROHEALTH INC DBA KAIZEN BRAIN CENTER ","4180  La Jolla Village Dr",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O MOHAMED AHMED",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC BEHAVIORAL HEALTH CENTER","1666  Precision Park Ln",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC COMMUNITY HTS FAM MEDICINE","4690  El Cajon Blvd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC COMMUNITY HTS FAM MEDICINE","1830  West Dr",NULL,"MISCELLANEOUS ASSOC","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC DBA SAN YSIDRO HEALTH","1601  Precision Park Ln",NULL,"MISCELLANEOUS ASSOC","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC DBA SAN YSIDRO HEALTH CENTER","209  Foothill Rd",NULL,"MISCELLANEOUS ASSOC","ATTN CARMEN HERNANDEZ",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC DBA SYH BEHAVIORAL HEALTH","1620  Alpine Blvd",NULL,"DOCTOR/OSTEOPA/CHIRO","SEE 7430122363",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC MTN EMPIRE COMMUNITY CTR","976  Sheridan Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH BUSINESS SVC","1800  Maxwell Rd",NULL,"MISCELLANEOUS ASSOC","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH CASA","3045  Beyer Blvd",NULL,"HOSPITAL","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH CHULA VISTA","678  3Rd Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH ESCONDIDO","704 E Grand Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH EUCLID","286 N Euclid Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH KING CHAVEZ","950 S Euclid Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH OCEAN VIEW","3177  Ocean View Blvd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH OUR PLACE","292 N Euclid Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH PARADISE HIL","2400 E 8Th St",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH SOUTH BAY","340 E 8Th St",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH WIC-IB","886  Palm Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH WIC-NC","1420 E Plaza Blvd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH-MCHC","4050  Beyer Blvd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SAN YSIDRO HEALTH/SD PACE-CV","880  3Rd Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA COMUNIDAD DE SAN YSIDRO INC SY HLTH SAN YSIDRO HEALTH CNTR","4004  Beyer Blvd",NULL,"MISCELLANEOUS ASSOC","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CENTRO DE SALUD DE LA SAN YSIDRO HEALTH OTAY ","1637  3Rd Ave",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SONIA JOHNSON",NULL,"Audrey Merged",NULL
"CERRO PUEBLO HOUSING PARTNERS LP ","2825  Clairemont Dr",NULL,"APARTMENTS","PMB 250",NULL,"Audrey Merged",NULL
"CHATEAU LAKE SAN MARCOS COMMUNITY CARE CENTER","1560 Circa Del Lago","92078.0","RESIDENTIAL CARE ELDERLY","RICHARDSON, RENEE J.","(760) 471-0083","Audrey Merged",NULL
"CHI-ENERGY INC DBA BEAUTY&BODY MEDLOUNGE SALON","722  Genevieve St",NULL,"BEAUTY SHOP","ATTN CHI NGUYEN",NULL,"Audrey Merged",NULL
"CHILDRENS HOSPITAL SAN DIEGO DBA CHILDRENS HOSPITAL&HEALTH CENTER","8040  Birmingham Dr",NULL,"HOSPITAL","SEE 6907503070",NULL,"Audrey Merged",NULL
"CHINESE COMMUNITY CHURCH  ","4998  Via Valarta",NULL,"RELIGIOUS ORGANIZATI","C/O MILTON LOW TRUSTEE",NULL,"Audrey Merged",NULL
"CHULA VISTA ENERGY CENTER LLC C/O WELLHEAD ELECTRIC CO INC ","3497  Main St",NULL,"ELECTRICITY GENERATI","ATTN KARA MILES",NULL,"Audrey Merged",NULL
"CHULA VISTA LEARNING COMMUNITY CHARTER SCHOOL ","590  K St",NULL,"PUBLIC AGENCY","OSCAR EZQUIVEL",NULL,"Audrey Merged",NULL
"CHULA VISTA WOMENS CARE INC DBA LIFETIME WOMENS HEALTHCARE ","752  Medical Center Ct",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN SCHUBERT J ATIGA",NULL,"Audrey Merged",NULL
"CHULA VISTA WOMENS CARE INC DBA LIFETIME WOMENS HEALTHCARE ADMINISTRATION","752  Medical Center Ct",NULL,"DOCTOR/OSTEOPA/CHIRO","SEE 6308313550",NULL,"Audrey Merged",NULL
"CIGNA HEALTHCARE OF CALIFORNIA INC ","3636  Nobel Dr",NULL,"INSURANCE BROKER","C/O GRANT THORNTON LLP",NULL,"Audrey Merged",NULL
"CLARITYPATH HEALTH LLC","566 Mulgrew Street","92019.0","ADULT RESIDENTIAL","AQUINO, RODELIO","(619) 750-8871","Audrey Merged",NULL
"CLAYDELLE HEALTHCARE INC DBA SOMERSET SUBACUTE&CARE ","151  Claydelle Ave",NULL,"REST HOME","ATTN BRETT ARNOLD",NULL,"Audrey Merged",NULL
"CLEAN ENERGY CORP SITE #13109 ","1800  Maxwell Rd",NULL,"SERVICE STATION&MKTS","ATTN TAX DEPARTMENT",NULL,"Audrey Merged",NULL
"CLEAN ENERGY CORP SITE #13565 ","1497  Piper Ranch Rd",NULL,"SERVICE STATION&MKTS","ATTN TAX DEPARTMENT",NULL,"Audrey Merged",NULL
"CLEAN ENERGY CORP SITE #13590 ","350  Via Del Norte",NULL,"SERVICE STATION&MKTS","ATTN TAX DEPARTMENT",NULL,"Audrey Merged",NULL
"CLEAN HARBORS ENVIRONMENTAL SERVICES INC ","6465  Marindustry Dr",NULL,"MISC CONTRACTOR","C/O INDUSTRIAL VALUATION SVCS",NULL,"Audrey Merged",NULL
"CLEAR BRIDGE SOCIAL REHABILITATION","5422 Wellesley Street","91942.0","SOCIAL REHABILITATION FACILITY","OVERTON, CHRISTA","(619) 466-0547","Audrey Merged",NULL
"CLEARWAY ENERGY GROUP LLC ENERGY CENTER SAN DIEGO LLC ","901  Kettner Blvd",NULL,"ELECTRICITY GENERATI","C/O RYAN LLC",NULL,"Audrey Merged",NULL
"CLEARWAY&EFS DISTRIBUTED SOLAR LLC ","1302  Rocky Point Dr",NULL,"MISC PROFESSIONAL","C/O RYAN LLC",NULL,"Audrey Merged",NULL
"COAST ENVIRONMENTAL SYSTEMS LLC DBA THOMAS HOUSE APARTMENTS","1333  Thomas Ave",NULL,"APARTMENTS","C/O PETER JOHNSON",NULL,"Audrey Merged",NULL
"COASTAL ENVIRONMENTS INC  ","2166  Avenida De La Playa",NULL,"ARCHITECT&ENGINEER","C/O ELWANY HANY",NULL,"Audrey Merged",NULL
"COLLINS DENTAL CORPORATION DBA COMPLETE DENTAL HEALTH ","3808  Front St",NULL,"DENTIST","ATTN TIMOTHY N COLLINS",NULL,"Audrey Merged",NULL
"COMM22 FAMILY HOUSING LP COMM22 HOUSING GP LLC MGP DBA PASEO AT COMM22","2325  Commercial St",NULL,"APARTMENTS","C/O DELPHINE SHERMAN CFO",NULL,"Audrey Merged",NULL
"COMM22 SENIOR HOUSING LP COMM22 SENIOR GP LLC MGP DBA VICTORIA AT COMM22","690  Beardsley St",NULL,"APARTMENTS","C/O DELPHINE SHERMAN CFO",NULL,"Audrey Merged",NULL
"COMMUNITY ACTION PARTNERSHIP OF SAN LUIS OBISPO COUNTY INC ","12979  Community Rd",NULL,"MISCELLANEOUS ASSOC","ATTN JOAN LIMOV CFO",NULL,"Audrey Merged",NULL
"COMMUNITY CHRISTIAN SERVICE AGENCY ","1675  Garnet Ave",NULL,"MISCELLANEOUS ASSOC","C/O LAURANCE MULLEN",NULL,"Audrey Merged",NULL
"COMMUNITY CHRISTIAN SERVICE AGENCY INC ","4167  Rappahannock Ave",NULL,"MISCELLANEOUS ASSOC","C/O DAN MOORE",NULL,"Audrey Merged",NULL
"COMMUNITY CHURCH OF VISTA DBA NEW COMMUNITY CHURCH OF VISTA","165  Eucalyptus Ave",NULL,"CLUBS - SOCIAL/SERVI","SEE 7311412000",NULL,"Audrey Merged",NULL
"COMMUNITY CLINICS HEALTH NETWORK CORPORATION DBA HEALTH QUALITY PARTNERS","3710  Ruffin Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","C/O PATRICIA HAPPY",NULL,"Audrey Merged",NULL
"COMMUNITY CONGREGATIONAL CHURCH DBA UNITED CHURCH OF CHRIST","276  F St",NULL,"MISCELLANEOUS ASSOC","CHULA VISTA",NULL,"Audrey Merged",NULL
"COMMUNITY CONVALESCENT TORREY PINES HOLDING LLC COMMUNITY CARE CENTER","8665  La Mesa Blvd",NULL,"REST HOME","C/O SHARON RAMIREZ",NULL,"Audrey Merged",NULL
"COMMUNITY COUNSELING SERVICE INC ","7777  Alvarado Rd",NULL,"MISC PROFESSIONAL","C/O DONNA DENNIS MFT",NULL,"Audrey Merged",NULL
"COMMUNITY ELDER SAN DIEGO DBA ST PAULS PACE ","1306 E Broadway",NULL,"MISCELLANEOUS ASSOC","ATTN SHEILAH MOLINA",NULL,"Audrey Merged",NULL
"COMMUNITY ELDERCARE OF SAN DIEGO ","2557  3Rd Ave",NULL,"CLUBS - SOCIAL/SERVI","ATTN SHEILAH MOLINA",NULL,"Audrey Merged",NULL
"COMMUNITY ELDERCARE OF SAN DIEGO ","111  Elm St",NULL,"MISCELLANEOUS ASSOC","ATTN SHEILAH MOLINA",NULL,"Audrey Merged",NULL
"COMMUNITY ELDERCARE OF SAN DIEGO ","1840  1St Ave",NULL,"MISCELLANEOUS ASSOC","C/O KIM MCNULTY",NULL,"Audrey Merged",NULL
"COMMUNITY ELDERCARE OF SAN DIEGO DBA ST PAULS PACE","630  L St",NULL,"MISCELLANEOUS ASSOC","ATTN SHEILAH MOLINA",NULL,"Audrey Merged",NULL
"COMMUNITY HOUSING OF NORTH COUNTY DBA ESPERANZA GARDEN","920  Regal Rd",NULL,"LOW INCOME HOUSING","APARTMENTS LTD",NULL,"Audrey Merged",NULL
"COMMUNITY HOUSING OF NORTH COUNTY ORANGE PL HOUSING ASSOCIATES L P","1500 S Orange Pl",NULL,"LOW INCOME HOUSING","SEE 9190003898",NULL,"Audrey Merged",NULL
"COMMUNITY HOUSING OF NORTH COUNTY ORANGE PL HOUSING ASSOCIATES L P","1500 S Orange Pl",NULL,"LOW INCOME HOUSING","SEE 9190003898",NULL,"Audrey Merged",NULL
"COMMUNITY HOUSING OF NORTH COUNTY ORANGE PL HOUSING ASSOCIATES L P","1500 S Orange Pl",NULL,"LOW INCOME HOUSING","SEE 9190003898",NULL,"Audrey Merged",NULL
"COMMUNITY HOUSING OF NORTH COUNTY ORANGE PL HOUSING ASSOCIATES L P","1500 S Orange Pl",NULL,"LOW INCOME HOUSING","SEE 9190003898",NULL,"Audrey Merged",NULL
"COMMUNITY HOUSING OF NORTH COUNTY ORANGE PL HOUSING ASSOCIATES L P","1500 S Orange Pl",NULL,"LOW INCOME HOUSING","SEE 9190003898",NULL,"Audrey Merged",NULL
"COMMUNITY HOUSING OF NORTH COUNTY ORANGE PL HOUSING ASSOCIATES L P","1500 S Orange Pl",NULL,"LOW INCOME HOUSING","SEE 9190003898",NULL,"Audrey Merged",NULL
"COMMUNITY HOUSING WORKS  ","3111  Camino Del Rio N",NULL,"MISCELLANEOUS ASSOC","ATTN JENILEE CABADING",NULL,"Audrey Merged",NULL
"COMMUNITY OF CHRISTIAN FAMILY MINISTER ","801  Valley Crest Dr",NULL,"RELIGIOUS ORGANIZATI","ATTN MARTIN ZCHOCHE",NULL,"Audrey Merged",NULL
"COMMUNITY PSYCHIATRY  ","12865  Pointe Del Mar Way",NULL,"MISC PROFESSIONAL","C/O LAURA SPENCER",NULL,"Audrey Merged",NULL
"COMMUNITY PSYCHIATRY MANAGEMENT LLC ","6010  Hidden Valley Rd",NULL,"MISC PROFESSIONAL","C/O PROPERTY VALUATION SVCS",NULL,"Audrey Merged",NULL
"COMMUNITY PSYCHIATRY MANAGEMENT LLC ","1550  Hotel Cir N",NULL,"MISC PROFESSIONAL","C/O PROPERTY VALUATION SVCS",NULL,"Audrey Merged",NULL
"COMMUNITY PSYCHIATRY MANAGEMENT LLC ","8950  Villa La Jolla Dr",NULL,"MISC PROFESSIONAL","C/O PROPERTY VALUATION SVCS",NULL,"Audrey Merged",NULL
"COMMUNITY PSYCHIATRY MANAGEMENT LLC ","15373  Innovation Dr",NULL,"MISC PROFESSIONAL","C/O PROPERTY VALUATION SVCS",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC CENTRAL OFFICE CRF","1202  Morena Blvd",NULL,"INSTITUTIONAL EXEMPT","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC CROSSROADS FAMILY SERVICES","700 N Johnson Ave",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA ADVANCE NORTH","969 S Santa Fe Ave",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA ADVANCE SAN DIEGO","3550  Camino Del Rio N",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA ARETA CROWELL CENTER","1963  4Th Ave",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA CASA DEL SOL CLUBHOUSE","1157  30Th St",NULL,"MISC PROFESSIONAL","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA CASA PACIFICA","321  Cassidy St",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA DEL SUR CRISIS CENTER","892  27Th St",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA DOUGLAS YOUNG CLINIC","10717  Camino Ruiz",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA EAST CORNER CLUBHOUSE","1068  Estes St",NULL,"MISC PROFESSIONAL","SEE 6721816000",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA ESPERANZA CRISIS CENTER","490 N Grape St",NULL,"SPECIALTY STORE-SOFT","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA HEALTHY CONNECT ADULT SVCS","3570  Camino Del Rio N",NULL,"MISC PROFESSIONAL","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA HEALTHY CONNECT YOUTH","3570  Camino Del Rio N",NULL,"MISC PROFESSIONAL","SERVICES",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA IMPACT","1260  Morena Blvd",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA JANE WESTIN CENTER","1045  9Th Ave",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA JARY BARRETO CRISIS CENTER","2865  Logan Ave",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA MARIA SARDINAS","1465  30Th St",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA MAST","1260  Morena Blvd",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA NEW VISTAS","734  10Th Ave",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA NUEVA VISTA FAMILY SVCS","1161  Bay Blvd",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA PERT","4995  Murphy Canyon Rd",NULL,"DOCTOR/OSTEOPA/CHIRO","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA SENIOR IMPACT","928  Broadway",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA SOUTH BAY GUIDANCE CENTER","1196  3Rd Ave",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA SOUTH BAY IMPACT","855  3Rd Ave",NULL,"SPECIALTY STORE-SOFT","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA STEP FORWARD","2772  4Th Ave",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA STEP FORWARD EAST","900 N Cuyamaca St",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA STEP FORWARD NORTH INLAND","337 W Mission Ave",NULL,"SPECIALTY STORE-SOFT","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA STEP FORWARD SOUTH","1105  Broadway",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DBA VISTA BALBOA","545  Laurel St",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DOUGLAS YOUNG YOUTH&FAMILY","7917  Ostrow St",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC DOWNTOWN IMPACT","995  Gateway Center Way",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC HALCYON CENTER","1664  Broadway",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC HEARTLAND WELLNESS RECOV CTR","460 N Magnolia Ave",NULL,"MISC PROFESSIONAL","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
"COMMUNITY RESEARCH FOUNDATION INC STEP FORWARD NORTH CENTRAL","8775  Aero Dr",NULL,"MISCELLANEOUS ASSOC","ATTN VANESSA CHASSIN",NULL,"Audrey Merged",NULL
