EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
262684718,SOCCER KIDS OF AMERICA,,1804 GARNET AVENUE 402,SAN DIEGO,CA,92109-3352,0,3,3,2100,201310,1,16,0,1,1,202412.0,4,4,1,0,12,129245.0,245458.0,245458.0,N64,
262713779,CHRIST SANCTUARY INTERNATIONAL,% CAROL WOODY,29176 VISTA VALLEY DR,VISTA,CA,92084-2218,0,3,3,1200,200904,1,15,0,1,1,202412.0,3,4,1,0,12,82416.0,409988.0,409988.0,Q33,
262781208,DIEGO ULTIMATE DISC EXPERIENCE,% KEITH TEMPLE,4862 MOUNT ALIFAN DR,SAN DIEGO,CA,92111-2510,0,7,3,1000,200812,2,0,0,1,1,202312.0,0,0,2,0,12,0.0,0.0,0.0,N70,
262782755,CENTER FOR ONCOLOGY IN PEDIATRICS FOUNDATION,% GUILLERMO CAMARENA,4045 BONITA RD STE 309,BONITA,CA,91902-1337,0,3,3,2100,200906,1,15,0,1,1,202506.0,4,3,2,0,6,371542.0,37701.0,37701.0,G113,
262785550,TYLER AND DIANE MILLER FAMILY FOUNDATION,% SHEPPARD MULLIN ET AL LLP,990 HIGHLAND DR STE 303,SOLANA BEACH,CA,92075-2438,0,3,3,1000,200902,1,4,0,1,1,202412.0,3,1,0,1,12,56973.0,1.0,,T90,
262785587,HAVEN OF HOPE ANIMAL SANCTUARY,% ERLINDA J NUNEZ,631 12TH ST,IMPERIAL BCH,CA,91932-1703,0,3,3,1400,202308,1,4,0,1,1,202412.0,1,2,0,1,12,43.0,21205.0,,D20,
262789840,SUMMIT CHURCH INTERNATIONAL INC,% BRUCE A GRECCO,3322 SWEETWATER SPRINGS BLVD,SPRING VALLEY,CA,91977-3162,0,3,3,7000,200906,1,10,0,1,1,,0,0,6,0,12,,,,X20,
262803834,NORTH PARK HISTORICAL SOCIETY,% STEPHEN HON,2226 DWIGHT ST,SAN DIEGO,CA,92104-4016,0,3,3,2000,200810,1,16,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,A80,
262813970,CENTERS FOR SPIRITUAL LIVING,% SUZETTE WEHUNT,7484 UNIVERSITY AVE STE 210,LA MESA,CA,91942-6030,6017,3,9,7000,201406,1,10,0,1,1,,0,0,6,0,12,,,,X99,OM SPIRITUAL CENTER
262815858,PAUL BRYANT SMITH FOUNDATION,% JUDY SMITH,3640 JEWELL ST,SAN DIEGO,CA,92109-6724,0,3,3,1000,200809,1,4,0,1,1,202412.0,5,3,0,1,12,647512.0,94975.0,,T22,
262815881,CHAMPIONS IN ACTION INC,% JONATHAN JAKUBOWSKI,10140 STAR MAGNOLIA LN,SANTEE,CA,92071-7217,0,3,3,1000,200812,1,15,0,1,1,202412.0,4,4,1,0,12,145681.0,309045.0,309045.0,Q33,
262816528,AMAZING GRACE CHRISTIAN FELLOWSHIP,% PLACIDO F SOLIVEN,502 DOUGLAS ST,CHULA VISTA,CA,91910-6405,0,3,3,7000,200809,1,10,0,1,1,,0,0,6,0,12,,,,X20,
262825565,SDG&E ALUMNI ASSOCIATION,% KENNETH J CLAY,10533 IRONWOOD AVE,SANTEE,CA,92071-1202,0,7,3,1000,200909,2,0,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,N50,
262840323,WILLOW GROVE EDUCATIONAL FOUNDATION,% DEBRA KEEL COOPER,14727 VIA AZUL,SAN DIEGO,CA,92127-4813,0,3,3,1000,200902,1,15,0,1,1,202506.0,4,4,1,0,6,266430.0,308928.0,230117.0,B11,
262847060,CINDERELLAS ATTIC,% KERRY SPARK,16460 MARTINCOIT RD,POWAY,CA,92064-1623,0,3,3,1000,200904,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,P58,
262854804,HOPE WITHOUT BOUNDARIES,% GEORGE ARAPAGE,639 SANTA CAMELIA DR,SOLANA BEACH,CA,92075-1611,0,3,3,1000,200809,1,16,0,1,1,202512.0,3,3,1,0,12,48105.0,63877.0,63877.0,Q33,
262861681,SAN DIEGO FALUN DAFA ASSOCIATION,,7925 SILVERTON AVE,SAN DIEGO,CA,92126-6350,0,3,3,2100,200909,1,16,0,1,1,202406.0,4,5,1,0,6,434006.0,586159.0,586159.0,P015,
262861827,WESTMARCH,% BRIAN KNOX,2180 B VISTA WAY NUMBER 1142,OCEANSIDE,CA,92054-0000,0,3,3,1000,202405,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,P20,
262879881,NATIONAL CITY POLICE DEPARTMENT EXPLORERS POST 2859,% RONNI ZENGOTA,1200 NATIONAL CITY BLVD,NATIONAL CITY,CA,91950-4302,0,3,3,1200,202101,1,16,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,O40,
262902712,PROMISE LAND RANCH GHANA AFRICA INC,% TARA ESSIEN,1737 W 11TH AVE,ESCONDIDO,CA,92029-3067,0,3,3,1000,200907,1,11,0,1,1,202412.0,4,4,1,0,12,185987.0,108509.0,108509.0,B20,
262920648,SONG OF JOY INTERNATIONAL MINISTRIES,% CAROL JEAN DICKSON,PO BOX 101,JAMUL,CA,91935-0101,0,3,3,7200,200905,1,15,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,X20,
262920783,BEREAVED PARENTS OF THE USA,% KATHLEEN STARK,15385 CRESTVIEW CT,POWAY,CA,92064-2238,9523,3,9,1000,199605,1,10,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,,98 SAN DIEGO NORTH INLAND
262924279,KNIGHTS OF COLUMBUS,% JUAN O MENDEZ,7710 EL CAJON BLVD,LA MESA,CA,91942-6932,188,8,9,1000,194010,2,0,36029265,5,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,,14550 ST MARTIN OF TOURS COUNCIL
262926896,ROBOTICS INSPIRING SCIENCE AND ENGINEERING INC,% JD MORRISON,3027 WHITTIER ST,SAN DIEGO,CA,92106-1945,0,3,3,2100,200902,1,16,0,1,1,202412.0,4,4,1,0,12,203242.0,131329.0,131329.0,B82,
262945586,THE CAMPAIGN FOR AGING RESEARCH,% CHARLIE WARREN,4629 CASS ST,SAN DIEGO,CA,92109-2805,0,3,3,1200,200905,1,15,0,1,1,202412.0,1,3,2,0,12,1439.0,39793.0,39793.0,H129,
262946180,US-MEXICO BORDER PHILANTHROPY PARTNERSHIP,% ANDREW CAREY,2508 HISTORIC DECATUR RD,SAN DIEGO,CA,92106-6138,0,3,3,1200,200811,1,15,0,1,1,202412.0,5,6,1,0,12,732653.0,2566678.0,2566678.0,Q20,
262948811,CITIZENS CLIMATE EDUCATION CORP,% MARSHALL SAUNDERS,1330 ORANGE AVENUE 309,CORONADO,CA,92118-2949,0,3,3,1000,201002,1,15,0,1,1,202412.0,6,6,1,0,12,2087737.0,3912962.0,3912962.0,C30,
262957475,SETTING SCOLIOSIS STRAIGHT FOUNDATION,,623 ALDWYCH RD,EL CAJON,CA,92020-2243,0,3,3,8000,200904,1,12,0,1,1,202412.0,7,6,1,0,12,6864199.0,2808679.0,2745752.0,H50,JULIA APPLEBAUM
262968059,KNIGHTS OF COLUMBUS,% RALPH PAIGE TREASURER,7776 ROAN RD,SAN DIEGO,CA,92129-4509,188,8,9,1000,194010,2,0,36029265,5,1,202406.0,0,0,2,0,6,0.0,0.0,0.0,,9665 LOUR LADY OF MT CARMEL COUNCIL
262973259,VETERANS OF FOREIGN WARS OF THE UNITED STATES AUXILIARY,% SIRENA GRIFFIN,PO BOX 361,CAMPO,CA,91906-0361,4239,19,9,1000,200003,2,0,0,5,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,W303,2080 LT JOHN W FINN AUX
262975168,TIERRASANTA VILLAGE OF SAN DIEGO,% TVSD,10601 TIERRASANTA BLVD SUITE G-405,SAN DIEGO,CA,92124-2616,0,3,3,1000,201012,1,15,0,1,1,202412.0,4,3,1,0,12,320596.0,99782.0,99782.0,P81,TVSD
262997243,DOUGLAS E AND NANCY J BARNHART CHARITABLE FOUNDATION,,10805 THORNMINT ROAD,SAN DIEGO,CA,92127-2429,0,3,3,1000,200810,1,4,0,1,1,202412.0,5,4,0,1,12,721232.0,162702.0,,T20,
263037280,BUDO CENTRE INC,% CHRISAN ROBINSON,1228 CALLE FANTASIA,SAN MARCOS,CA,92069-7329,0,3,3,1000,201003,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,O50,
263040014,RIVER OF FAITH MINISTRIES INC,% RAY ANN DELA FUENTE,9938 VIA PASAR,SAN DIEGO,CA,92126-4559,0,3,3,7120,201101,1,10,0,1,1,,0,0,6,0,12,,,,X21,RIVER OF FAITH CHURCH
263059571,COMUNIDAD CRISTIANA BAJO SUS ALAS,,1563 JAYKEN WAY STE C,CHULA VISTA,CA,91911-4676,0,3,3,7000,201303,1,10,0,1,1,,0,0,6,0,12,,,,X20,
263061988,FULFILLMENT WORSHIP CENTER,% FULFILLMENT WORSHIP CENTER,3142 PLAZA BLVD STE F & G,NATIONAL CITY,CA,91950-3941,0,3,3,7000,200906,1,10,0,1,1,,0,0,6,0,12,,,,X21,
263067119,HUMANE SMARTS,% POLLY LANKFORD SMITH,1050 PARK BLVD,SAN DIEGO,CA,92101-5607,0,3,3,1000,201210,1,15,0,1,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,P40,
263083533,DREYFUSS INITIATIVE,% DIANE HARRINGTON,162 S RANCHO SANTA FE ROAD 170,ENCINITAS,CA,92024-4300,0,3,3,2000,201004,1,15,0,1,1,202412.0,4,2,2,0,12,109395.0,16744.0,16744.0,B90,
263084041,STUDENT TELEVISION NETWORK INC,% SHERI STILSON,PO BOX 2752,CARLSBAD,CA,92018-2752,0,3,3,2100,200904,1,15,0,1,1,202506.0,4,6,1,0,6,362185.0,1079273.0,1079273.0,O50,
263096213,PINE VALLEY FIRE SAFE COUNCIL INC,% DOROTHY M HASKINS,PO BOX 411,PINE VALLEY,CA,91962-0411,0,3,3,1200,200812,1,15,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,M40,
263139749,PANDA BEAR PRESCHOOL,,4998 VIA VALARTA,SAN DIEGO,CA,92124-1591,0,3,3,2000,200907,1,16,0,1,1,202412.0,4,5,1,0,12,292702.0,670445.0,670445.0,B21,
263170958,HUBBELL FAMILY FOUNDATION,% JOHN W HOWARD,1970 6TH AVE,SAN DIEGO,CA,92101-2308,0,3,3,1000,201107,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,A25,
263187747,EGOSCUE FOUNDATION,,12230 EL CAMINO REAL STE 110,SAN DIEGO,CA,92130-2090,0,3,3,1000,200905,1,3,0,1,1,202412.0,3,3,0,1,12,46733.0,25000.0,,E99,
263191160,LIFT HIGH THE CROSS LUTHERAN CHURCH,% TOM KUWAZAKI,2128 ARNOLD WAY STE 3,ALPINE,CA,91901-2160,0,3,3,7000,200902,1,10,0,1,1,,0,0,6,0,12,,,,X21,
263194220,FRIENDS OF DEL MAR PARKS,% JOSEPH SULLIVAN,PO BOX 147,DEL MAR,CA,92014-0147,0,3,3,1000,202404,1,15,0,1,1,202406.0,0,0,2,0,6,0.0,0.0,0.0,N32,
263204767,HIDDEN TREASURES,,913 S MAIN AVE,FALLBROOK,CA,92028-3323,0,3,3,1000,200909,1,16,0,1,1,202412.0,3,4,1,0,12,28099.0,346046.0,346046.0,,
263217301,KAPPA SIGMA FRATERNITY,% UNIVERSITY OF CALIFORNIA SANDIEGO,8888 LA JOLLA SCENIC DR N,LA JOLLA,CA,92037-1608,262,7,9,1000,194012,2,0,36279265,5,1,202405.0,0,0,2,0,5,0.0,0.0,0.0,,PI-PSI CHAPTER
263217659,FRIENDS OF THE 4S RANCH LIBRARY,% NANCY JONES,10433 RESERVE DR,SAN DIEGO,CA,92127-3510,0,3,3,1000,200902,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,B11,
263224365,MATH FOR AMERICA SAN DIEGO,% BARBARA EDWARDS,PO BOX 191425,SAN DIEGO,CA,92159-1425,0,3,3,2000,200901,1,15,0,1,1,202406.0,4,4,1,0,6,174901.0,320978.0,320978.0,B82,
263224586,GLOBAL FRONTIERS PROJECT INC,,2931 CANON ST 6540,SAN DEIGO,CA,92106-2709,0,3,3,7000,200904,1,15,0,1,1,202406.0,3,1,2,0,6,29980.0,4943.0,4943.0,X21,
263228286,LIGHTHOUSE MINISTRIES KUWAIT INC,% STAN DEKOVEN,1117 H ST,RAMONA,CA,92065-0000,0,3,3,1200,200909,1,15,0,1,1,202412.0,4,3,2,0,12,188530.0,48814.0,48814.0,X21,
263230127,HOUSE OF INDIA A CALIFORNIA PUBLIC BENEFIT CORPORATION,,PO BOX 451,DEL MAR,CA,92014-0451,0,3,3,1000,201008,1,15,0,1,1,202412.0,5,3,2,0,12,942617.0,31649.0,31649.0,A23,
263231664,US MILITARY RACQUETBALL FOUNDATION,% PEGGINE TELLEZ,311 LAGOON WAY,SANTEE,CA,92071-5852,0,3,3,1000,202305,1,16,0,1,1,202412.0,3,4,1,0,12,26285.0,290855.0,290855.0,W30,
263243461,NAVAL BASE CORONADO FIRST CLASS PETTY OFFICERS ASSOCIATION,% NBC FCPOA,25707 CARYN CT,RAMONA,CA,92065-4719,0,7,3,1000,202408,2,0,0,5,1,,0,0,2,0,12,,,,N50,
263268714,IRISH AMERICAN BAR ASSOCIATION OF SAN DIEGO,% CHRISTOPHER COOKE,2247 SAN DIEGO AVE STE 236,SAN DIEGO,CA,92110-2943,0,6,3,2000,202204,2,0,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,Y03,
263285742,THE ABOLISH SLAVERY COALITION,,644 E SAN YSIDRO BLVD STE G,SAN YSIDRO,CA,92173-3126,0,3,3,2000,201410,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,Q99,
263287821,GIVE CLEAN WATER INC,% AMANDA MINEER,1759 OCEANSIDE BLVD SUITE C210,OCEANSIDE,CA,92054-3470,0,3,3,1000,200902,1,15,0,1,1,202412.0,3,4,1,0,12,42796.0,120916.0,120916.0,P20,
263288939,COMPASSIONATE COMMUNICATIONS FOUNDATION,,756 LOTUS BLOSSOM ST,ENCINITAS,CA,92024-2452,0,3,3,1000,200904,1,15,0,1,1,202412.0,1,1,2,0,12,8484.0,6532.0,6532.0,H99,
263289046,FUTURE AND A HOPE MINISTRIES INC,% CHRISTINA HANS,4818 SOLOLA AVE,SAN DIEGO,CA,92113-3535,0,3,3,1200,200912,1,15,0,1,1,202507.0,0,0,2,0,7,0.0,0.0,0.0,Q33,
263289222,FOCUS INTERNATIONAL DEVELOPMENT,% JEANNETTE HAHM,2816 AVENIDA VALERA,CARLSBAD,CA,92009-7109,0,3,3,1000,200904,1,15,0,1,1,202412.0,4,4,1,0,12,152752.0,138776.0,138776.0,Q32,
263302241,TALMADGE WATCH VOLUNTEER CITIZENS PATROL,% RUDY HEILIG,4704 50TH ST,SAN DIEGO,CA,92115-2021,0,3,3,1000,200905,1,15,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,I20,TALMADGE PATROL
263305140,SAN DIEGO CONTINUING EDUCATION FOUNDATION,% ANTHONY E BEEBE,4343 OCEAN VIEW BLVD,SAN DIEGO,CA,92113-1915,0,3,3,1000,201212,1,16,0,1,1,202406.0,6,6,1,0,6,3447421.0,3864785.0,3864785.0,B60,
263305187,GENESIS INITIATIVE,% RICHARD LYLES,PO BOX 612,POWAY,CA,92074-0612,0,3,3,1000,200904,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,X80,
263317728,ROAD RUNNER ARCHERY CLUB,% HOWARD N WOODALL,4741 JEAN DR,SAN DIEGO,CA,92115-3228,0,3,3,2100,200901,1,15,0,1,1,202312.0,0,0,2,0,12,0.0,0.0,0.0,N60,ROADRUNNER ARCHERY-CHULA VISTA ROAD
263320879,AMERICAN PACIFIC HEALTH FOUNDATION,% BINH TRAN,9500 GILMAN DR,LA JOLLA,CA,92093-0657,0,3,3,1000,200903,1,15,0,1,1,202412.0,2,3,2,0,12,15304.0,30772.0,30772.0,E70,
263340173,T3 TRIPLE THREAT YOUTH MENTORS,% MAURICE WILLIAMS,3911 CLEVELAND AVE,SAN DIEGO,CA,92103-3402,0,3,3,1000,200903,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,G128,
263353260,MINISTERIOS ROCA ETERNA,,1358 MISTY RIDGE PL,CHULA VISTA,CA,91913-1763,0,3,3,7000,200910,1,10,0,1,1,,0,0,6,0,12,,,,X20,
263365050,SHOTS FOR SPAYS,% ANNA BROWN,11381 AJANTA CT,SAN DIEGO,CA,92129-1302,0,3,3,1400,200908,1,15,0,1,1,202501.0,4,4,1,0,1,121009.0,202340.0,202340.0,D20,
263371983,COYOTES TRIATHLON & BIKE CLUB INC,% JEAN-CLAUDE CONSTANDSE,2186 REDWOOD CRST,VISTA,CA,92081-7380,0,4,3,3000,200912,2,0,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,N50,
263375598,SAN DIEGO YOUTH RUGBY CLUB INC,% WILLIAM FANNING,15858 CAMINITO CANTARAS,DEL MAR,CA,92014-3965,0,3,3,1000,200902,1,16,0,1,1,202508.0,4,2,2,0,8,137166.0,18679.0,18679.0,N65,
263376986,DIDAQUE MINISTRIES,,710 E SAN YSIDRO BLVD PMB 2186,SAN YSIDRO,CA,92173-3123,0,3,3,1000,200904,1,15,0,1,1,202412.0,3,4,1,0,12,46730.0,112823.0,112823.0,Q33,
263385877,ARTHROFIBROSIS FOUNDATION INC,% EDWARD P DIETRICH,5166 CHELTERHAM TER,SAN DIEGO,CA,92130-1415,0,3,3,1000,201005,1,15,0,1,1,202412.0,1,0,2,0,12,291.0,0.0,0.0,T30,
263400424,SCRIPPS RANCH SYMPHONY IN THE PARK,% JAMES PETTEY,10755 SCRIPPS POWAY PARKWAY 189,SAN DIEGO,CA,92131-3924,0,3,3,1200,200902,1,15,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,A69,
263401870,ATHENA SAN DIEGO FOUNDATION,% AMY J ROMAKER,17418 TAM O SHANTER DR,POWAY,CA,92064-1327,0,3,3,2000,200812,1,17,0,1,1,202412.0,4,2,2,0,12,269369.0,18673.0,18673.0,S11,
263403146,CENTER FOR ENRICHING RELATIONSHIPS INC,,4025 CAMINO DEL RIO S STE 250,SAN DIEGO,CA,92108-4100,0,3,3,1200,201001,1,16,0,1,1,202412.0,5,6,1,0,12,755819.0,1718505.0,1718505.0,P40,
263405689,GENERATEHOPE INC,% SUSAN MUNSEY,4025 CAMINO DEL RIO S STE 300,SAN DIEGO,CA,92108-4108,0,3,3,1000,200906,1,15,0,1,1,202412.0,6,6,1,0,7,3577812.0,2093718.0,2010580.0,P62,
263411883,MOUNT ZION CHURCH,% DE LA CRUZ HUGO,1402 HEMLOCK AVE,IMPERIAL BCH,CA,91932-3808,1446,3,9,7000,195902,1,10,268120230,5,1,,0,0,6,0,12,,,,,
263422989,FRIENDS OF CIUDAD OCULTA INC,% GEORGE HELLAND,2626 29TH ST,SAN DIEGO,CA,92104-4907,0,3,3,1000,200908,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,Q33,
263458690,USS SANTA FE FAMILY READINESS GROUP,,1397 E WASHINGTON AVE APT 1,EL CAJON,CA,92019-3151,0,4,3,3000,202308,2,0,0,5,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,W30,USS SANTA FE FRG
263461502,NEUROLINX RESEARCH INSTITUTE,% JAY S COGGAN,PO BOX 13668,LA JOLLA,CA,92039-3668,0,3,3,1000,201407,1,12,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,H50,
263462995,IT COMPUTER WIZ KIDS,,15632 BERNARDO CENTER DR APT 3704,SAN DIEGO,CA,92127-1867,0,3,3,1200,201408,1,16,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,U41,
263464948,POWAY CHEER BOOSTER CLUB,% ROBERT KNIGHT,PO BOX 1629,POWAY,CA,92074-1629,0,3,3,2100,200901,1,15,0,1,1,202504.0,0,0,2,0,4,0.0,0.0,0.0,N11,
263477952,GETTING EDUCATION DONE,% MARGO RADY ALON,3430 CARMEL MOUNTAIN RD STE 150,SAN DIEGO,CA,92121-1078,0,3,3,1000,200907,1,3,0,1,1,202412.0,3,1,0,1,12,58876.0,1.0,,B90,
263486036,LOS ANGELITOS DE ENCINITAS,,PO BOX 232682,ENCINITAS,CA,92023-2682,0,3,3,1200,200903,1,15,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,O50,
263494391,FDNY RETIREES OF SAN DIEGO,% BRENNAN SAVAGE,3032 RUE MONTREUX,ESCONDIDO,CA,92026-8714,0,3,3,1000,201203,1,15,0,5,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,T30,
263516573,CALIFORNIA GARDEN CLUBS INC,% LESLIE SCHROEDER,PO BOX 16,BONITA,CA,91908-0016,5358,3,9,1200,196910,1,16,0,1,1,202506.0,0,0,2,0,6,0.0,0.0,0.0,,BONITA VALLEY GARDEN CLUB
263521896,CITIZENS CLIMATE LOBBY,% MARSHALL SAUNDERS,1330 ORANGE AVENUE 309,CORONADO,CA,92118-2949,0,4,3,3000,200905,2,0,0,1,1,202412.0,5,5,1,0,12,538980.0,960134.0,960134.0,W20,
263532852,POWAY VALLEY FLEET RESERVE ASSOCIATION CLUB 70 A NOT-FOR-PROF,% C SMEDLEY,14231 GARDEN RD,POWAY,CA,92064-4906,0,19,3,1000,201008,2,0,0,1,1,202412.0,3,4,1,0,12,37353.0,143662.0,60158.0,W30,
263534334,SAN DIEGO REGIONAL CHAMBER FOUNDATION,% WILLIAM SCARFIA,402 W BROADWAY STE 1000,SAN DIEGO,CA,92101-3585,0,3,3,1000,200909,1,15,0,1,1,202412.0,4,1,2,0,12,147238.0,7278.0,7278.0,S194,
263577943,OLIVE TREE PROJECTS,% JAMES VARNAM,SUITE 328 9921 CARMEL MOUNTAIN ROAD,SAN DIEGO,CA,92129-2813,0,3,3,1000,200904,1,15,0,1,1,202412.0,1,4,1,0,12,8901.0,171103.0,146644.0,Q30,
263583076,THE RELATIONSHIP RESOURCE,% JEFFREY D REINKE,PO BOX 1285,BONSALL,CA,92003-1285,0,3,3,1000,200909,1,15,0,1,1,202412.0,3,4,1,0,12,87330.0,449214.0,432477.0,F60,
263583838,DOMINION CENTER CHURCH OF SAN DIEGO CA INC,% CEDRIC BALTRIP,3142 E PLAZA BLVD STE F G,NATIONAL CITY,CA,91950-3941,0,3,3,7000,200903,1,10,0,1,1,,0,0,6,0,12,,,,X21,
263608175,HOUSE OF ISRAEL BALBOA PARK,% EDUARDO PODOLSKY,2156 PAN AMERICAN PLAZA,SAN DIEGO,CA,92101-0000,0,3,3,2000,200907,1,15,0,1,1,202312.0,0,0,2,0,12,0.0,0.0,0.0,A99,
263609855,CORONADO OPTIMIST FOUNDATION INC,,PO BOX 180251,CORONADO,CA,92178-0251,0,3,3,1000,200904,1,16,0,1,1,202409.0,0,0,2,0,9,0.0,0.0,0.0,O990,
263618257,LIFE AND LIGHT FOUNDATION,% ERICA MONTANO,9336 ABRAHAM WAY,SANTEE,CA,92071-2861,0,3,3,2000,200905,1,15,0,1,1,202412.0,4,4,1,0,12,252443.0,285029.0,285029.0,A50,
263618835,EVEN CHANCE,% NICOLE EDWARDS,4375 FELTON ST APT 5,SAN DIEGO,CA,92104-1461,0,3,3,2100,200902,1,16,0,1,1,202412.0,0,0,2,0,12,0.0,0.0,0.0,D20,
263618867,JOSEPH MICHALOWSKI HOUSING CORPORATION,% WILLIAM MARA DENNIS HEDGES,251 AIRPORT RD,OCEANSIDE,CA,92058-1201,0,3,3,1000,200909,1,15,0,1,1,202506.0,5,4,1,0,6,970112.0,121612.0,121612.0,L21,
263633243,ETA4,% VICTOR WILSON,620 NAPLES CT,OCEANSIDE,CA,92057-6350,0,3,3,2000,200902,1,15,0,1,1,202312.0,0,0,2,0,12,0.0,0.0,0.0,B90,
263637035,NINE GIRLS ASK,% JOAN C WYLLIE,PO BOX 212901,CHULA VISTA,CA,91921-2901,0,3,3,1000,200903,1,15,0,1,1,202412.0,5,1,2,0,12,564837.0,4976.0,4976.0,G12,
263637414,CHRIST CHURCH,% DONALD KROEGER,2000 RECHE RD,FALLBROOK,CA,92028-3627,0,3,3,7000,200912,1,10,0,1,1,,0,0,6,0,12,,,,X21,
263642128,SCDR INC,% SANDRA D SIMPSON,4284 CASS ST,SAN DIEGO,CA,92109-4006,0,3,3,1000,200903,1,15,0,1,1,202504.0,4,4,1,0,4,469569.0,232022.0,232022.0,D20,
263647112,FRIENDS OF OCOTILLO WELLS,% JAN GERAGHTY,PO BOX 846,BORREGO SPGS,CA,92004-0846,0,3,3,1000,200906,1,16,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,S99,
263663224,CROSSWAY COMMUNITY CHURCH OF FALLBROOK,,731 S STAGE COACH LN,FALLBROOK,CA,92028-3650,0,3,3,7000,200902,1,10,0,1,1,,0,0,6,0,12,,,,X21,
263668457,CASA DE ALABANZA ASAMBLEA DE DIOS,% PETRA BECERRA,3052 OKEEFE ST,SAN DIEGO,CA,92173-2870,1678,3,9,7000,196408,1,10,1002029,5,1,,0,0,6,0,12,,,,,
263669669,COASTAL ENVIRONMENTAL RIGHTS FOUNDATION,% MATTHEW OMALLEY,1140 S COAST HWY 101,ENCINITAS,CA,92024-5003,0,3,3,2000,201011,1,15,0,1,1,202412.0,4,3,2,0,12,314022.0,30350.0,30350.0,C60,
263678216,ST SERAPHIM OF SAROV AND ST JOHN OF KRONSTADT ORTHODOX CHURCH INC,% JAMES W STEGER,6348 BUNCHE WAY,SAN DIEGO,CA,92122-2216,0,3,3,7000,201206,1,10,0,1,1,,0,0,6,0,1,,,,X20,
263679162,ENCINITAS PRESERVATION ASSOCIATION,% BART SMITH,207 W D ST,ENCINITAS,CA,92024-3518,0,3,3,1000,201004,1,16,0,1,1,202506.0,6,3,1,0,6,1315817.0,78376.0,78376.0,L21,
263687600,MIRAMAR HOMEOWNERS ASSOCIATION,% LEWIS DA SILVA,900 N CLEVELAND ST SPC 156,OCEANSIDE,CA,92054-2182,0,7,3,1000,200906,2,0,0,1,1,202512.0,0,0,2,0,12,0.0,0.0,0.0,N50,MIRAMARHOA
263701666,WOMENS HEALTH INTERNATIONAL,,1106 2ND ST STE 103 # 235,ENCINITAS,CA,92024-5034,0,3,3,1000,200905,1,15,0,1,1,202412.0,2,1,2,0,12,12526.0,156.0,156.0,,
263702221,SANTEE CANYON VIEW CHRISTIAN FELLOWSHIP,,10791 TIERRASANTA BLVD STE 104,SAN DIEGO,CA,92124-2611,1678,3,9,7000,196408,1,10,1002029,5,1,,0,0,6,0,12,,,,,SANTEE
263703691,EL BUEN PASTOR,% EL BUEN PASTOR,1225 PRESIOCA ST,SPRING VALLEY,CA,91977-4217,1678,3,9,7000,196408,1,10,1002029,5,1,,0,0,6,0,3,,,,,
263728931,PEPTIDE THERAPEUTICS FOUNDATION,% ADRIENNE DAY,9395 CABOT DR,SAN DIEGO,CA,92126-4310,0,3,3,2000,201208,1,16,0,1,1,202412.0,4,4,1,0,12,335263.0,174477.0,174477.0,H05,
